indice_tiempo,agricultura_ganaderia_caza_silvicultura,pesca,explotacion_minas_canteras,industria_manufacturera,electricidad_gas_agua,construccion,comercio_mayorista_minorista_reparaciones,hoteles_restaurantes,transporte_comunicaciones,intermediacion_financiera,actividades_inmobiliarias_empresariales_alquiler,admin_publica_planes_seguridad_social_afiliacion_obligatoria,ensenianza,servicios_sociales_salud,otras_actividades_servicios_comunitarias_sociales_personales,impuestos_netos_subsidios
2004-01-01,99.99999999999999,100.00000000000001,99.99999999999999,100.0,99.99999999999999,100.00000000000001,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999999999,99.99999999999999,100.0
2005-01-01,119.76457107207058,92.31368054870325,99.68975700604454,107.42315927387197,106.11684712712542,112.46933082509018,110.41754073847017,112.11031033433831,114.94731507854421,109.83775296559709,105.68583079506908,105.31590720100412,106.14803738007942,109.95791645523595,110.63849657348067,106.96799025133879
2006-01-01,117.07385118227656,147.73762293002957,105.0747572226192,117.19843727852832,112.32437342022739,126.38806142036202,121.9575413478771,125.38597875343179,129.35857125978416,124.29338633606658,112.7145800580612,108.88691241823729,110.46418419919455,112.57772506147573,121.43658664445888,118.39730169616841
2007-01-01,128.0866791905634,132.75153420252812,102.5054740880755,126.02812946698653,115.19913078066628,139.9895091777477,136.1773429298647,138.68159874321896,145.78257552083224,141.6151824390819,119.03680195507542,115.01121899461674,116.8297769727917,119.82517203833112,131.2093288304491,135.68800764856414
2008-01-01,124.91992319659879,139.80433894256456,101.34295535005366,130.59173461992663,120.7818681193077,145.86740033030375,143.3819359378725,139.3716222002283,153.71083107359036,150.43632693654274,125.5776575422701,119.7505433124781,121.71960751382495,127.64248080755169,137.8224746483344,143.56875714519657
2009-01-01,91.99634633769061,111.92927479709284,101.59557261866239,121.11100399310514,120.14779564137457,127.91783264709089,131.80653031882935,135.65863602428422,152.68705002060403,150.19502078755622,122.09624928095967,123.64785146886989,126.24160972678273,136.6139210184767,138.14289682271416,133.70765388484958
2010-01-01,129.87532852506115,114.98511364349268,103.19460805355567,134.32172211347162,122.24036787713364,140.42494575477818,148.51253597468798,148.48997147778076,166.26415762010194,150.9495911596754,128.46896325879928,127.91765594430031,130.91595277208367,142.4642611923032,145.5705381648429,147.92886526428558
2011-01-01,126.39707285897828,120.98757497524669,97.17832198875463,144.61964339857388,128.03645915950122,153.82925334198202,164.378093350792,156.01558818560628,175.23635736301074,165.78684551520203,134.1857386549094,131.98497358644977,134.88144711716907,149.99295083345666,151.3656601519682,161.3220242131761
2012-01-01,109.52258546126069,121.70239881868486,96.00530756786297,140.40640137711787,134.00796018255326,150.0832331191946,159.8172069947338,158.1621862095115,176.28400825521018,177.96441293091482,133.38892699862242,135.95661712226405,139.35568002567825,158.25703033412358,154.0249966819736,162.88813940694527
2013-01-01,121.57975764290501,149.5654634492536,92.11966647643,142.51745605416173,134.65659200462633,149.92564389038213,163.8046629135975,158.1861591254178,180.44511197120153,183.00761011404708,134.36697459273697,139.54719189781557,143.34963397346056,162.50972438194194,151.8824350045032,168.4074409293339
2014-01-01,125.45626443910164,151.43192852812376,93.5582338367189,135.31455635384762,137.3042962016304,146.90013683953825,152.58644005875882,156.3148406595376,181.83341916505523,177.98142219049487,133.6819630786877,143.8704377124947,147.35491425369887,165.30462389746899,148.95730728525993,158.47062241848175
2015-01-01,135.19875553281682,155.2413270268607,95.09974273709106,136.35097427903614,143.37882471152457,151.31883017884402,157.99173653162416,158.476197729656,187.34855804631653,180.24261278757407,136.1008498202195,149.2703869579638,152.54501482907472,170.13525482632699,149.5576882527547,163.0906693445577
2016-01-01,128.5593078562159,155.0303746077357,89.88911613429958,128.7137657431756,144.7983631184326,134.37926317276933,152.8520656020228,161.50275775787452,193.71924908229775,174.53982505590898,135.94190054231106,152.87018713456936,156.31895524519993,174.38200603152677,149.07195924082566,160.76273636510334
2017-01-01,132.36798374168447,177.19516780601302,86.70987120026557,132.02694878419294,143.33751646477356,146.6876082309731,157.88714816097382,166.1118992887742,198.08013685717034,183.2917104934177,140.0358173092565,154.03836440750473,158.1897864272385,177.89404605432432,151.7141659820849,167.29480046767054
2018-01-01,111.75991951457688,186.80203064035717,87.44466340519382,125.68315609919689,143.51448733102404,148.3320484733492,151.5566243599736,165.41201679932067,191.80600678854523,190.1137877149747,141.87591083800984,154.15631310576688,161.08250270764952,180.71380932301722,150.45673523090895,163.50042132841062
2019-01-01,137.88732079499528,167.9531156775897,88.69085751301851,117.9454091813855,139.1217452615634,142.06155232980117,139.95225134176061,165.5214410182929,190.4578751505395,167.98503073449388,140.5576812775694,155.46647016887997,161.98949920998493,180.84769399318398,145.75030083861122,157.0834331830107
2020-01-01,128.09843090191802,139.84113403386615,79.44564671614121,108.86779661930355,141.1309178115811,110.26744699252585,132.57512156416934,84.34506749943961,158.1451163754704,166.492479761583,132.56095168913208,143.97355922638047,154.28023520061456,163.48378958580554,89.39456435230312,141.56313911399806
2021-01-01,129.59938941677726,166.50028844767778,86.95365612265856,126.03612477366717,145.74906111104133,142.30559675017773,150.51363172340987,108.09622198829987,169.23596365717825,167.42325960374427,144.32928082994627,151.73721974906294,159.7445961386851,181.195526601315,118.86529494377056,156.22370423928643
2022-01-01,123.91096745145144,170.45325461499877,97.65572830141122,131.9945773822566,149.65519550660744,150.74841838674217,159.5444810625152,144.8047696967392,182.6443085523157,167.57657487800427,151.47268667073166,161.85220357466713,166.59519723275332,183.49081475375033,129.32730299519912,174.0672620169511
