catalogo_id,dataset_id,distribucion_id,serie_id,indice_tiempo_frecuencia,serie_titulo,serie_unidades,serie_descripcion,distribucion_titulo,distribucion_descripcion,distribucion_url_descarga,dataset_responsable,dataset_fuente,dataset_titulo,dataset_descripcion,dataset_tema,serie_indice_inicio,serie_indice_final,serie_valores_cant,serie_dias_no_cubiertos,serie_actualizada,serie_valor_ultimo,serie_valor_anterior,serie_var_pct_anterior,serie_discontinuada,consultas_total,consultas_30_dias,consultas_90_dias,consultas_180_dias
agroindustria,ad9e97d9-a427-4bea-af07-d0217b60eff4,6e79add0-52d6-4eaf-b715-4636259f3aed,AGRO_0082,R/P1M,cantidad_por_miles_otros_prod_lacteos1,Litros,cantidad_por_miles_otros_prod_lacteos1,Serie de tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/ad9e97d9-a427-4bea-af07-d0217b60eff4/resource/6e79add0-52d6-4eaf-b715-4636259f3aed/download/serie-tiempo-existencias-lacteas-litros-equivalentes.csv,Lácteos - Existencias en litros equivalentes,,Lácteos - Existencias en litros equivalentes,Existencias lácteas desagregadas por mes y producto expresadas en litros equivalentes.,,2014-01-01,2014-12-01,12,3183,False,204095.09,179754.67,0.13540911065064387,False,826,9,20,36
agroindustria,ad9e97d9-a427-4bea-af07-d0217b60eff4,6e79add0-52d6-4eaf-b715-4636259f3aed,AGRO_0083,R/P1M,cantidad_por_miles_leche_en_polvo_entera2,Litros,cantidad_por_miles_leche_en_polvo_entera2,Serie de tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/ad9e97d9-a427-4bea-af07-d0217b60eff4/resource/6e79add0-52d6-4eaf-b715-4636259f3aed/download/serie-tiempo-existencias-lacteas-litros-equivalentes.csv,Lácteos - Existencias en litros equivalentes,,Lácteos - Existencias en litros equivalentes,Existencias lácteas desagregadas por mes y producto expresadas en litros equivalentes.,,2015-01-01,2015-12-01,12,3183,False,337579.4,389570.54,-0.1334575761298582,False,716,10,21,36
agroindustria,ad9e97d9-a427-4bea-af07-d0217b60eff4,6e79add0-52d6-4eaf-b715-4636259f3aed,AGRO_0084,R/P1M,cantidad_por_miles_leche_en_polvo_descremada2,Litros,cantidad_por_miles_leche_en_polvo_descremada2,Serie de tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/ad9e97d9-a427-4bea-af07-d0217b60eff4/resource/6e79add0-52d6-4eaf-b715-4636259f3aed/download/serie-tiempo-existencias-lacteas-litros-equivalentes.csv,Lácteos - Existencias en litros equivalentes,,Lácteos - Existencias en litros equivalentes,Existencias lácteas desagregadas por mes y producto expresadas en litros equivalentes.,,2015-01-01,2015-12-01,12,3183,False,155016.43,114335.09,0.3558080026000767,False,801,11,23,37
agroindustria,ad9e97d9-a427-4bea-af07-d0217b60eff4,6e79add0-52d6-4eaf-b715-4636259f3aed,AGRO_0085,R/P1M,cantidad_por_miles_quesos_baja_humedad2,Litros,cantidad_por_miles_quesos_baja_humedad2,Serie de tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/ad9e97d9-a427-4bea-af07-d0217b60eff4/resource/6e79add0-52d6-4eaf-b715-4636259f3aed/download/serie-tiempo-existencias-lacteas-litros-equivalentes.csv,Lácteos - Existencias en litros equivalentes,,Lácteos - Existencias en litros equivalentes,Existencias lácteas desagregadas por mes y producto expresadas en litros equivalentes.,,2015-01-01,2015-12-01,12,3183,False,213945.1,210432.19,0.016693786250097986,False,762,10,19,35
agroindustria,ad9e97d9-a427-4bea-af07-d0217b60eff4,6e79add0-52d6-4eaf-b715-4636259f3aed,AGRO_0086,R/P1M,cantidad_por_miles_quesos_mediana_humedad2,Litros,cantidad_por_miles_quesos_mediana_humedad2,Serie de tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/ad9e97d9-a427-4bea-af07-d0217b60eff4/resource/6e79add0-52d6-4eaf-b715-4636259f3aed/download/serie-tiempo-existencias-lacteas-litros-equivalentes.csv,Lácteos - Existencias en litros equivalentes,,Lácteos - Existencias en litros equivalentes,Existencias lácteas desagregadas por mes y producto expresadas en litros equivalentes.,,2015-01-01,2015-12-01,12,3183,False,145382.79,160092.72,-0.09188381582872718,False,693,10,21,33
agroindustria,ad9e97d9-a427-4bea-af07-d0217b60eff4,6e79add0-52d6-4eaf-b715-4636259f3aed,AGRO_0087,R/P1M,cantidad_por_miles_quesos_alta_humedad2,Litros,cantidad_por_miles_quesos_alta_humedad2,Serie de tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/ad9e97d9-a427-4bea-af07-d0217b60eff4/resource/6e79add0-52d6-4eaf-b715-4636259f3aed/download/serie-tiempo-existencias-lacteas-litros-equivalentes.csv,Lácteos - Existencias en litros equivalentes,,Lácteos - Existencias en litros equivalentes,Existencias lácteas desagregadas por mes y producto expresadas en litros equivalentes.,,2015-01-01,2015-12-01,12,3183,False,35626.11,42712.67,-0.16591236277198307,False,794,9,23,40
agroindustria,ad9e97d9-a427-4bea-af07-d0217b60eff4,6e79add0-52d6-4eaf-b715-4636259f3aed,AGRO_0088,R/P1M,cantidad_por_miles_otros_prod2,Litros,cantidad_por_miles_otros_prod2,Serie de tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/ad9e97d9-a427-4bea-af07-d0217b60eff4/resource/6e79add0-52d6-4eaf-b715-4636259f3aed/download/serie-tiempo-existencias-lacteas-litros-equivalentes.csv,Lácteos - Existencias en litros equivalentes,,Lácteos - Existencias en litros equivalentes,Existencias lácteas desagregadas por mes y producto expresadas en litros equivalentes.,,2015-01-01,2015-12-01,12,3183,False,198742.03,178026.47,0.11636224658052252,False,987,10,23,36
agroindustria,ad9e97d9-a427-4bea-af07-d0217b60eff4,6e79add0-52d6-4eaf-b715-4636259f3aed,AGRO_0089,R/P1M,cantidad_por_miles_leche_en_polvo_entera3,Litros,cantidad_por_miles_leche_en_polvo_entera3,Serie de tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/ad9e97d9-a427-4bea-af07-d0217b60eff4/resource/6e79add0-52d6-4eaf-b715-4636259f3aed/download/serie-tiempo-existencias-lacteas-litros-equivalentes.csv,Lácteos - Existencias en litros equivalentes,,Lácteos - Existencias en litros equivalentes,Existencias lácteas desagregadas por mes y producto expresadas en litros equivalentes.,,2016-01-01,2016-08-01,8,3183,False,242516.07,269703.12,-0.10080361695482054,False,978,9,24,36
agroindustria,ad9e97d9-a427-4bea-af07-d0217b60eff4,6e79add0-52d6-4eaf-b715-4636259f3aed,AGRO_0090,R/P1M,cantidad_por_miles_leche_en_polvo_desc3,Litros,cantidad_por_miles_leche_en_polvo_desc3,Serie de tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/ad9e97d9-a427-4bea-af07-d0217b60eff4/resource/6e79add0-52d6-4eaf-b715-4636259f3aed/download/serie-tiempo-existencias-lacteas-litros-equivalentes.csv,Lácteos - Existencias en litros equivalentes,,Lácteos - Existencias en litros equivalentes,Existencias lácteas desagregadas por mes y producto expresadas en litros equivalentes.,,2016-01-01,2016-08-01,8,3183,False,66261.44,60782.35,0.09014277993529385,False,686,9,26,42
agroindustria,ad9e97d9-a427-4bea-af07-d0217b60eff4,6e79add0-52d6-4eaf-b715-4636259f3aed,AGRO_0091,R/P1M,cantidad_por_miles_quesos_baja_humedad3,Litros,cantidad_por_miles_quesos_baja_humedad3,Serie de tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/ad9e97d9-a427-4bea-af07-d0217b60eff4/resource/6e79add0-52d6-4eaf-b715-4636259f3aed/download/serie-tiempo-existencias-lacteas-litros-equivalentes.csv,Lácteos - Existencias en litros equivalentes,,Lácteos - Existencias en litros equivalentes,Existencias lácteas desagregadas por mes y producto expresadas en litros equivalentes.,,2016-01-01,2016-08-01,8,3183,False,130045.62,133070.55,-0.022731776489989697,False,765,9,22,33
