catalogo_id,dataset_id,distribucion_id,serie_id,indice_tiempo_frecuencia,serie_titulo,serie_unidades,serie_descripcion,distribucion_titulo,distribucion_descripcion,distribucion_url_descarga,dataset_responsable,dataset_fuente,dataset_titulo,dataset_descripcion,dataset_tema,serie_indice_inicio,serie_indice_final,serie_valores_cant,serie_dias_no_cubiertos,serie_actualizada,serie_valor_ultimo,serie_valor_anterior,serie_var_pct_anterior,serie_discontinuada,consultas_total,consultas_30_dias,consultas_90_dias,consultas_180_dias
"bcra,1,1.1,bcra_2251,R/P1M,m1_depositos_cc_sector_privado_moneda_nacional,Miles de pesos corrientes,""Agregados monetarios, saldos afin de mes, en miles de pesos - M1 - En moneda nacional - Depósitos en cuentas corrientes - Del sector privado"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1940-06-01,2021-05-01,972,33,True,1465016.601,1370023.3,0.06933699667735582,False,5,0,1,1"
"bcra,1,1.1,bcra_2299,R/P1M,m1_depositos_cc_sector_publico_moneda_nacional_total,Miles de pesos corrientes,""Agregados monetarios, saldos afin de mes, en miles de pesos - M1 - En moneda nacional - Depósitos en cuentas corrientes - Del sector público (netos) - Total"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1940-06-01,2021-05-01,972,33,True,573030.958,580851.557,-0.013464023476827958,False,5,0,1,1"
"bcra,1,1.1,bcra_23,R/P1M,credito_sector_privado_no_financiero_moneda_nacional,Miles de pesos corrientes,""Dinero y crédito, saldos a fin de mes, en miles de pesos - Crédito - Al sector privado no financiero - De moneda nacional"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1940-02-01,2021-05-01,976,33,True,3590393704.0,3500841870.0,0.025580085398144492,False,6,0,0,0"
"bcra,1,1.1,bcra_24,R/P1M,credito_sector_privado_no_financiero_moneda_extranjera,Miles de pesos corrientes,""Dinero y crédito, saldos a fin de mes, en miles de pesos - Crédito - Al sector privado no financiero - De moneda extranjera"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1940-02-01,2021-05-01,976,33,True,563467866.0,544583675.0,0.03467638099875092,False,4,0,0,0"
"bcra,1,1.1,bcra_25,R/P1M,credito_sector_publico_no_financiero_moneda_nacional,Miles de pesos corrientes,""Dinero y crédito, saldos a fin de mes, en miles de pesos - Crédito - Al sector público no financiero - De moneda nacional"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1940-02-01,2021-05-01,976,33,True,7289156415.88803,7017768286.142611,0.03867157174187508,False,7,0,0,0"
"bcra,1,1.1,bcra_26,R/P1M,credito_sector_publico_no_financiero_moneda_extranjera,Miles de pesos corrientes,""Dinero y crédito, saldos a fin de mes, en miles de pesos - Crédito - Al sector público no financiero - De moneda extranjera"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1940-02-01,2021-05-01,976,33,True,5768792946.94812,5680023968.95656,0.015628275246146073,False,3,0,0,0"
"bcra,1,1.1,bcra_27,R/P1M,tipo_cambio_valuacion,Miles de pesos corrientes,""Dinero y crédito, saldos a fin de mes, en miles de pesos - Tipo de cambio de valuación (1 upesoss = _x0085_)"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1940-02-01,2021-06-01,977,33,True,95.7267,94.685,0.011001742620267096,False,8,0,0,0"
"bcra,1,1.1,bcra_28,R/P1M,tasa_depositos_caja_ahorro_moneda_nacional,Porcentaje (0-100),""Tasas de interés, promedio mensual en porcentaje nominal anual - Por depósitos en caja de ahorros - De moneda nacional"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1990-01-01,2021-06-01,378,33,True,6.98,7.22,-0.0332409972299168,False,17,1,5,6"
"bcra,1,1.1,bcra_29,R/P1M,tasa_depositos_caja_ahorro_moneda_extranjera,Porcentaje (0-100),""Tasas de interés, promedio mensual en porcentaje nominal anual - Por depósitos en caja de ahorros - De moneda extranjera"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1993-04-01,2021-06-01,339,33,True,0.02,0.02,0.0,False,18,1,2,4"
"bcra,1,1.1,bcra_3,R/P1M,pasivos_monetarios_total,Miles de pesos corrientes,""Principales pasivos del BCRA, promedio mensual de saldos diarios en miles de pesos - Pasivos monetarios - Total"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1977-06-01,2021-06-01,529,33,True,3723367100.0,3491668193.54839,0.0663576530209038,False,4,0,0,0"
