catalogo_id,dataset_id,distribucion_id,serie_id,indice_tiempo_frecuencia,serie_titulo,serie_unidades,serie_descripcion,distribucion_titulo,distribucion_descripcion,distribucion_url_descarga,dataset_responsable,dataset_fuente,dataset_titulo,dataset_descripcion,dataset_tema,serie_indice_inicio,serie_indice_final,serie_valores_cant,serie_dias_no_cubiertos,serie_actualizada,serie_valor_ultimo,serie_valor_anterior,serie_var_pct_anterior,serie_discontinuada,consultas_total,consultas_30_dias,consultas_90_dias,consultas_180_dias
"bcra,2,2.1,bcra_129,R/P1M,bcra_129,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Series mensuales, saldos a fin de mes - Activo - Activos con residentes en el exterior - Operaciones en moneda nacional - Préstamos"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1990-01-01,2020-09-01,369,40,True,3263.0,976.0,2.3432377049180326,False,2,0,0,0"
"bcra,2,2.1,bcra_130,R/P1M,bcra_130,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Series mensuales, saldos a fin de mes - Activo - Activos con residentes en el exterior - Operaciones en moneda nacional - Recursos devengados sobre préstamos"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1990-01-01,2020-09-01,369,40,True,37.0,41.0,-0.09756097560975607,False,1,0,0,0"
"bcra,2,2.1,bcra_131,R/P1M,bcra_131,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Series mensuales, saldos a fin de mes - Activo - Activos con residentes en el exterior - Operaciones en moneda nacional - Otros activos"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1990-01-01,2020-09-01,369,40,True,7376787.0,6816611.0,0.08217807940045274,False,1,0,0,0"
"bcra,2,2.1,bcra_132,R/P1M,bcra_132,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Series mensuales, saldos a fin de mes - Activo - Crédito al sector público - Total"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1940-08-01,2020-09-01,962,40,True,4016314178.0,3865212443.0,0.03909273739239083,False,20,0,0,0"
"bcra,2,2.1,bcra_133,R/P1M,bcra_133,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Series mensuales, saldos a fin de mes - Activo - Crédito al sector público - En moneda nacional - Total"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1940-08-01,2020-09-01,962,40,True,3872964853.0,3726832728.0,0.039210808658541874,False,2,0,0,0"
"bcra,2,2.1,bcra_134,R/P1M,bcra_134,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Series mensuales, saldos a fin de mes - Activo - Crédito al sector público - En moneda nacional - Utilización de fondos unificados - Nacionales"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1940-08-01,2020-09-01,962,40,True,115000002.0,115000001.0,8.695652198298376e-09,False,1,0,0,0"
"bcra,2,2.1,bcra_135,R/P1M,bcra_135,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Series mensuales, saldos a fin de mes - Activo - Crédito al sector público - En moneda nacional - Utilización de fondos unificados - Provinciales"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1940-08-01,2020-09-01,962,40,True,230115923.0,221430958.0,0.03922199984340047,False,2,0,0,0"
"bcra,2,2.1,bcra_136,R/P1M,bcra_136,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Series mensuales, saldos a fin de mes - Activo - Crédito al sector público - En moneda nacional - Préstamos - Total"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1940-08-01,2020-09-01,962,40,True,40926505.0,41269668.0,-0.008315138372327113,False,2,0,0,0"
"bcra,2,2.1,bcra_137,R/P1M,bcra_137,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Series mensuales, saldos a fin de mes - Activo - Crédito al sector público - En moneda nacional - Préstamos - Al Gobierno Nacional"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1940-08-01,2020-09-01,962,40,True,8945370.0,9227067.0,-0.03052941958696087,False,4,0,0,0"
"bcra,2,2.1,bcra_138,R/P1M,bcra_138,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Series mensuales, saldos a fin de mes - Activo - Crédito al sector público - En moneda nacional - Préstamos - A gobiernos provinciales y municipales"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1989-12-01,2020-09-01,370,40,True,27203555.0,27285733.0,-0.0030117570966482488,False,25,0,0,1"
"bcra,2,2.1,bcra_139,R/P1M,bcra_139,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Series mensuales, saldos a fin de mes - Activo - Crédito al sector público - En moneda nacional - Préstamos - A otros entes oficiales"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1989-12-01,2020-09-01,370,40,True,4777580.0,4756868.0,0.004354125445566348,False,4,0,0,0"
"bcra,2,2.1,bcra_140,R/P1M,bcra_140,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Series mensuales, saldos a fin de mes - Activo - Crédito al sector público - En moneda nacional - Valores públicos"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1940-08-01,2020-09-01,962,40,True,3454301564.0,3317002279.0,0.04139258084603803,False,3,0,0,0"
"bcra,2,2.1,bcra_141,R/P1M,bcra_141,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Series mensuales, saldos a fin de mes - Activo - Crédito al sector público - En moneda nacional - Recursos devengados sobre préstamos"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1981-01-01,2020-09-01,477,40,True,32620859.0,32129822.0,0.015282904461780156,False,2,0,0,0"
"bcra,2,2.1,bcra_1419,R/P1M,bcra_1419,MIles de pesos corrientes,""Información relacionada con la normativa de regulación de liquidez del BCRA (serie mensual) - Depósitos y otras obligaciones sujetas a la normativa de regulación de liquidez del BCRA, promedio mensual de saldos diarios, en miles de pesos - Otros depósitos y obligaciones sujetos a la normativa de regulación de liquidez del BCRA - Depósitos a plazo de títulos valores - Emitidos en moneda extranjera"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1987-03-01,2019-09-01,391,40,True,33895012.0,38609126.0,-0.12209843859195357,False,1,0,0,0"
"bcra,2,2.1,bcra_142,R/P1M,bcra_142,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Series mensuales, saldos a fin de mes - Activo - Crédito al sector público - En moneda extranjera - Total"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1979-01-01,2020-09-01,501,40,True,143349325.0,138379715.0,0.035912850376950134,False,1,0,0,0"
"bcra,2,2.1,bcra_1420,R/P1M,bcra_1420,MIles de pesos corrientes,""Información relacionada con la normativa de regulación de liquidez del BCRA (serie mensual) - Depósitos y otras obligaciones sujetas a la normativa de regulación de liquidez del BCRA, promedio mensual de saldos diarios, en miles de pesos - Otros depósitos y obligaciones sujetos a la normativa de regulación de liquidez del BCRA - Obligaciones por aceptaciones - Total"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1985-01-01,2017-11-01,395,40,True,6857.0,471.0,13.558386411889597,False,1,0,0,0"
"bcra,2,2.1,bcra_1421,R/P1M,bcra_1421,MIles de pesos corrientes,""Información relacionada con la normativa de regulación de liquidez del BCRA (serie mensual) - Depósitos y otras obligaciones sujetas a la normativa de regulación de liquidez del BCRA, promedio mensual de saldos diarios, en miles de pesos - Otros depósitos y obligaciones sujetos a la normativa de regulación de liquidez del BCRA - Obligaciones por aceptaciones - En moneda nacional"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1985-01-01,2005-10-01,250,40,True,28686.0,27012.0,0.06197245668591744,False,2,0,0,0"
"bcra,2,2.1,bcra_1422,R/P1M,bcra_1422,MIles de pesos corrientes,""Información relacionada con la normativa de regulación de liquidez del BCRA (serie mensual) - Depósitos y otras obligaciones sujetas a la normativa de regulación de liquidez del BCRA, promedio mensual de saldos diarios, en miles de pesos - Otros depósitos y obligaciones sujetos a la normativa de regulación de liquidez del BCRA - Obligaciones por aceptaciones - En moneda extranjera"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-01-01,2017-11-01,227,40,True,6857.0,471.0,13.558386411889597,False,2,0,0,0"
"bcra,2,2.1,bcra_1423,R/P1M,bcra_1423,MIles de pesos corrientes,""Información relacionada con la normativa de regulación de liquidez del BCRA (serie mensual) - Depósitos y otras obligaciones sujetas a la normativa de regulación de liquidez del BCRA, promedio mensual de saldos diarios, en miles de pesos - Otros depósitos y obligaciones sujetos a la normativa de regulación de liquidez del BCRA - Pases pasivos de títulos valores públicos nacionales - Total"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1987-03-01,2019-09-01,391,40,True,165690.0,607523.0,-0.7272695848552235,False,2,0,0,0"
"bcra,2,2.1,bcra_1424,R/P1M,bcra_1424,MIles de pesos corrientes,""Información relacionada con la normativa de regulación de liquidez del BCRA (serie mensual) - Depósitos y otras obligaciones sujetas a la normativa de regulación de liquidez del BCRA, promedio mensual de saldos diarios, en miles de pesos - Otros depósitos y obligaciones sujetos a la normativa de regulación de liquidez del BCRA - Pases pasivos de títulos valores públicos nacionales - En moneda nacional"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1987-03-01,2019-09-01,391,40,True,165690.0,607523.0,-0.7272695848552235,False,11,7,7,7"
"bcra,2,2.1,bcra_1425,R/P1M,bcra_1425,MIles de pesos corrientes,""Información relacionada con la normativa de regulación de liquidez del BCRA (serie mensual) - Depósitos y otras obligaciones sujetas a la normativa de regulación de liquidez del BCRA, promedio mensual de saldos diarios, en miles de pesos - Otros depósitos y obligaciones sujetos a la normativa de regulación de liquidez del BCRA - Pases pasivos de títulos valores públicos nacionales - En moneda extranjera"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1990-01-01,2019-07-01,355,40,True,314263.0,591076.0,-0.46832048670560134,False,2,0,0,0"
"bcra,2,2.1,bcra_1426,R/P1M,bcra_1426,MIles de pesos corrientes,""Información relacionada con la normativa de regulación de liquidez del BCRA (serie mensual) - Depósitos y otras obligaciones sujetas a la normativa de regulación de liquidez del BCRA, promedio mensual de saldos diarios, en miles de pesos - Otros depósitos y obligaciones sujetos a la normativa de regulación de liquidez del BCRA - Pases pasivos de otros títulos valores"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1989-12-01,2019-12-01,361,40,True,0.0,0.0,nan,False,2,0,0,0"
"bcra,2,2.1,bcra_1427,R/P1M,bcra_1427,MIles de pesos corrientes,""Información relacionada con la normativa de regulación de liquidez del BCRA (serie mensual) - Depósitos y otras obligaciones sujetas a la normativa de regulación de liquidez del BCRA, promedio mensual de saldos diarios, en miles de pesos - Otros depósitos y obligaciones sujetos a la normativa de regulación de liquidez del BCRA - Pases pasivos de moneda extranjera"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1989-12-01,1998-12-01,109,40,True,957.0,4935.0,-0.8060790273556231,False,2,0,0,0"
"bcra,2,2.1,bcra_1428,R/P1M,bcra_1428,MIles de pesos corrientes,""Información relacionada con la normativa de regulación de liquidez del BCRA (serie mensual) - Depósitos y otras obligaciones sujetas a la normativa de regulación de liquidez del BCRA, promedio mensual de saldos diarios, en miles de pesos - Otros depósitos y obligaciones sujetos a la normativa de regulación de liquidez del BCRA - Emisiones de obligaciones negociables - Total"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1991-10-01,2019-09-01,336,40,True,181012141.0,184118138.0,-0.016869587286397647,False,21,0,2,2"
"bcra,2,2.1,bcra_1429,R/P1M,bcra_1429,MIles de pesos corrientes,""Información relacionada con la normativa de regulación de liquidez del BCRA (serie mensual) - Depósitos y otras obligaciones sujetas a la normativa de regulación de liquidez del BCRA, promedio mensual de saldos diarios, en miles de pesos - Otros depósitos y obligaciones sujetos a la normativa de regulación de liquidez del BCRA - Emisiones de obligaciones negociables - En moneda nacional"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1989-12-01,2019-09-01,358,40,True,90153356.0,98466834.0,-0.08442922009658604,False,2,0,0,0"
"bcra,2,2.1,bcra_143,R/P1M,bcra_143,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Series mensuales, saldos a fin de mes - Activo - Crédito al sector público - En moneda extranjera - Préstamos - Total"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1989-12-01,2020-09-01,370,40,True,9944513.0,9851875.0,0.00940308316944738,False,4,0,0,0"
"bcra,2,2.1,bcra_1430,R/P1M,bcra_1430,MIles de pesos corrientes,""Información relacionada con la normativa de regulación de liquidez del BCRA (serie mensual) - Depósitos y otras obligaciones sujetas a la normativa de regulación de liquidez del BCRA, promedio mensual de saldos diarios, en miles de pesos - Otros depósitos y obligaciones sujetos a la normativa de regulación de liquidez del BCRA - Emisiones de obligaciones negociables - En moneda extranjera"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1989-12-01,2019-09-01,358,40,True,90858785.0,85651304.0,0.060798619014603705,False,44,0,0,0"
"bcra,2,2.1,bcra_1431,R/P1M,bcra_1431,MIles de pesos corrientes,""Información relacionada con la normativa de regulación de liquidez del BCRA (serie mensual) - Depósitos y otras obligaciones sujetas a la normativa de regulación de liquidez del BCRA, promedio mensual de saldos diarios, en miles de pesos - Otros depósitos y obligaciones sujetos a la normativa de regulación de liquidez del BCRA - Emisiones de otros títulos valores de deuda"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1989-12-01,2019-12-01,361,40,True,0.0,0.0,nan,False,2,0,0,0"
"bcra,2,2.1,bcra_1432,R/P1M,bcra_1432,MIles de pesos corrientes,""Información relacionada con la normativa de regulación de liquidez del BCRA (serie mensual) - Depósitos y otras obligaciones sujetas a la normativa de regulación de liquidez del BCRA, promedio mensual de saldos diarios, en miles de pesos - Otros depósitos y obligaciones sujetos a la normativa de regulación de liquidez del BCRA - Compras a término y al contado a liquidar - Total"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1990-12-01,2019-12-01,349,40,True,0.0,0.0,nan,False,2,0,0,0"
"bcra,2,2.1,bcra_1433,R/P1M,bcra_1433,MIles de pesos corrientes,""Información relacionada con la normativa de regulación de liquidez del BCRA (serie mensual) - Depósitos y otras obligaciones sujetas a la normativa de regulación de liquidez del BCRA, promedio mensual de saldos diarios, en miles de pesos - Otros depósitos y obligaciones sujetos a la normativa de regulación de liquidez del BCRA - Compras a término y al contado a liquidar - De moneda extranjera"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1989-12-01,2019-12-01,361,40,True,0.0,0.0,nan,False,7,0,0,0"
"bcra,2,2.1,bcra_1434,R/P1M,bcra_1434,MIles de pesos corrientes,""Información relacionada con la normativa de regulación de liquidez del BCRA (serie mensual) - Depósitos y otras obligaciones sujetas a la normativa de regulación de liquidez del BCRA, promedio mensual de saldos diarios, en miles de pesos - Otros depósitos y obligaciones sujetos a la normativa de regulación de liquidez del BCRA - Compras a término y al contado a liquidar - En moneda nacional - Total"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1990-12-01,2019-12-01,349,40,True,0.0,0.0,nan,False,3,0,0,0"
"bcra,2,2.1,bcra_144,R/P1M,bcra_144,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Series mensuales, saldos a fin de mes - Activo - Crédito al sector público - En moneda extranjera - Préstamos - Al Gobierno Nacional"",""Balances consolidados, exigencia e integración de efectivo mínimo y otros datos del sistema financiero"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1989-12-01,2020-09-01,370,40,True,1191481.0,1159982.0,0.027154731711354074,False,5,0,0,0"
